"Name","Type","SunW1","MonW1","TueW1","WedW1","ThuW1","FriW1","SatW1","SunW2","MonW2","TueW2","WedW2","ThuW2","FriW2","SatW2","SunW3","MonW3","TueW3","WedW3","ThuW3","FriW3","SatW3","SunW4","MonW4","TueW4","WedW4","ThuW4","FriW4","SatW4"
"Nurse1","MS","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0"
"Nurse2","MS","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0"
"Nurse3","MS","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Nurse4","MS","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse5","MS","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse6","CC","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse7","CC","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse8","CC","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0"
"Nurse9","MS","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0"
"Nurse10","MS","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse11","MS","0","0","1","1","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0"
"Nurse12","MS","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse13","MS","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0"
"Nurse14","CC","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
"Nurse15","MS","0","0","0","1","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0"
"Nurse16","CC","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse17","CC","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0"
"Nurse18","MS","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse19","MS","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse20","CC","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0"
"Nurse21","MS","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse22","CC","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse23","MS","0","0","1","1","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse24","MS","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse25","CC","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse26","CC","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0"
"Nurse27","CC","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse28","CC","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse29","CC","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0"
"Nurse30","MS","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0"
"Nurse31","CC","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse32","CC","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse33","MS","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse34","MS","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0"
"Nurse35","MS","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0"
"Nurse36","CC","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0"
"Nurse37","CC","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0"
"Nurse38","MS","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0"
"Nurse39","CC","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0"
"Nurse40","MS","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0"
"No of Nurse Available","","0","15","17","28","12","4","0","0","12","13","13","32","22","0","0","20","13","13","23","8","0","0","34","13","14","20","13","0"
